T_celsius,time_months,OIT_avg_min,OIT_surface_min,CO_surface_mol_L
30,0.0,291.0699999999998,291.07,0.0
30,0.18367346938775508,259.9904735227327,239.934681677733,0.00010926528498232709
30,0.36734693877551017,231.26232118143423,197.01623777618636,0.00022612273906943102
30,0.5510204081632653,204.97606353098817,161.2295115277903,0.000349803713667739
30,0.7346938775510203,181.10687948862545,131.5606233796859,0.00047951823578756055
30,0.9183673469387755,159.56950316723368,107.08662160950885,0.0006144943641697673
30,1.1020408163265305,140.24108670397897,86.98415883899797,0.0007540080606818155
30,1.2857142857142856,122.97618712221822,70.53223739042305,0.0008974018687193722
30,1.4693877551020407,107.61763762361767,57.108921938382004,0.0010440938407157339
30,1.6530612244897962,94.00431895913451,46.184485593430665,0.0011935794147374303
30,1.836734693877551,81.9766636336704,37.31245254872239,0.0013454284971543592
30,2.020408163265306,71.38045188754327,30.119755233471448,0.00149927964632171
30,2.204081632653061,62.06934496648409,24.29695192612664,0.0016548328736633185
30,2.387755102040816,53.90630916141718,19.588402938075458,0.0018118414003324608
30,2.571428571428571,46.7647318399297,15.784803452199311,0.0019701050966223132
30,2.7551020408163263,40.52854166937737,12.714797248166162,0.0021294626128963144
30,2.9387755102040813,35.09211997606405,10.238441021251292,0.0022897849910412655
30,3.122448979591837,30.359998295710692,8.241854582311255,0.002450970391222537
30,3.3061224489795924,26.24663383218394,6.632970207803324,0.0026129398379814706
30,3.4897959183673466,22.675559373548396,5.337073402995989,0.002775632632445882
30,3.673469387755102,19.578561682018222,4.293429514258107,0.0029390028436567387
30,3.8571428571428568,16.895423702447143,3.453254981646274,0.0031030172439782105
30,4.040816326530612,14.572965014243948,2.77711604953457,0.0032676525524237996
30,4.224489795918368,12.564160195068146,2.232962180193094,0.0034328933679738673
30,4.408163265306122,10.827955527742109,1.795179534187357,0.0035987311767759133
30,4.591836734693877,9.32833970453575,1.4430580890386677,0.0037651627250437007
30,4.775510204081632,8.033735570639626,1.1598175273597016,0.0039321889837826965
30,4.959183673469387,6.916799524092237,0.9320968044387518,0.004099814610239626
30,5.142857142857142,5.953440117568433,0.7489399414767333,0.00426804686190632
30,5.326530612244898,5.1230572833702706,0.6017471034716928,0.004436895553597836
30,5.5102040816326525,4.407382941926349,0.4833742354941963,0.00460637208625903
30,5.693877551020408,3.790980823328203,0.38828891821240996,0.004776489627839009
30,5.877551020408163,3.259990108745845,0.3118057757452659,0.0049472622786615895
30,6.061224489795918,2.8029478048635714,0.25039714025753407,0.005118705428638499
30,6.244897959183674,2.409521997422976,0.20104216573945669,0.0052908350380425325
30,6.428571428571429,2.070962893190958,0.1613915371957231,0.0054636678298145246
30,6.612244897959185,1.7797284725936269,0.12955568479350413,0.005637221061644772
30,6.795918367346937,1.5291509956187168,0.10396589316805527,0.005811512367928337
30,6.979591836734693,1.313745870488975,0.08344246601914238,0.005986559858483905
30,7.163265306122448,1.1284293054888161,0.0669370765984439,0.006162381802220221
30,7.346938775510204,0.969137035136282,0.05369303879259706,0.006338996850388504
30,7.530612244897959,0.8322825784993753,0.04307773076366469,0.006516423828391578
30,7.7142857142857135,0.7145819579449398,0.03453987498197281,0.006694681671029844
30,7.8979591836734695,0.613462892358245,0.02769323348847007,0.006873789570653176
30,8.081632653061224,0.5266407063175532,0.022210190409540025,0.007053766827079911
30,8.26530612244898,0.4519762507424987,0.01779813875222289,0.0072346327868408064
30,8.448979591836736,0.3878356727748504,0.014258204319504234,0.007416406995444849
30,8.63265306122449,0.33280795102144145,0.011428740307811765,0.007599109093061842
30,8.816326530612244,0.2855338110282104,0.009156635703609285,0.007782758742535813
30,9.0,0.24493901931614548,0.007334387600150627,0.007967375735334972
40,0.0,291.0699999999998,291.07,0.0
40,0.18367346938775508,254.8855533772235,233.7253741071518,0.00012869085246617078
40,0.36734693877551017,220.21751721548387,186.57266820202057,0.0002690206657655738
40,0.5510204081632653,188.11855699872368,148.17303753526343,0.00041993076228438606
40,0.7346938775510203,159.097066880926,117.16448233785295,0.0005802908951324674
40,0.9183673469387755,133.35612900290602,92.30465954095202,0.0007489938033644858
40,1.1020408163265305,110.89163916551026,72.49504270704313,0.0009250223196005735
40,1.2857142857142856,91.5578319044124,56.78953840694915,0.001107488975592458
40,1.4693877551020407,75.11840698071067,44.38986767026821,0.00129565166574946
40,1.6530612244897962,61.28619782375073,34.63368164186873,0.0014889135253164773
40,1.836734693877551,49.75342898718443,26.979192545654506,0.00168681360381081
40,2.020408163265306,40.21365964828743,20.987529718225545,0.0018890113116540727
40,2.204081632653061,32.376520877478185,16.306744985884453,0.0020952704749655007
40,2.387755102040816,25.97640075249696,12.656016679246827,0.0023054421762798536
40,2.571428571428571,20.77679510491576,9.81263743904222,0.0025194500453005167
40,2.7551020408163263,16.571512217093083,7.600741343138398,0.0027372771392958043
40,2.9387755102040813,13.183810696134547,5.881950529718425,0.002958954859098676
40,3.122448979591837,10.464322682210339,4.5477429282384465,0.003184553811914082
40,3.3061224489795924,8.287994586332296,3.513025819082495,0.00341417602138471
40,3.4897959183673466,6.551194955421034,2.7113022011706183,0.0036479490971861634
40,3.673469387755102,5.1686632915276265,2.0906620984700943,0.0038860213823778862
40,3.8571428571428568,4.070594678219006,1.6105728514864244,0.004128558050459211
40,4.040816326530612,3.2003130291072375,1.2395303287833719,0.0043757383484990696
40,4.224489795918368,2.5120150896099456,0.9530680682989298,0.004627753243220157
40,4.408163265306122,1.9686388253877884,0.732088007468273,0.004884803395316945
40,4.591836734693877,1.5402933258254032,0.5617050346209203,0.005147097767623462
