AH0_mult,time_months,OIT_avg_min,OIT_surface_min,CO_surface_mol_L
0.5,0.0,291.0699999999998,291.07,0.0
0.5,0.18367346938775508,250.27173755040067,230.18985779996837,0.00015898969118487873
0.5,0.36734693877551017,212.69469443896148,181.40061412776157,0.0003257843039103801
0.5,0.5510204081632653,179.04715811851224,142.53118293870628,0.0004993616106945634
0.5,0.7346938775510203,149.49469381762972,111.71596556530211,0.0006788370377422757
0.5,0.9183673469387755,123.9321902073241,87.38384853714449,0.0008634735835416518
0.5,1.1020408163265305,102.09829037752462,68.23376028629448,0.0010526803950477886
0.5,1.2857142857142856,83.64683560001089,53.202630330956254,0.0012460020326601653
0.5,1.4693877551020407,68.19512673175696,41.430451658761804,0.0014431026128296325
0.5,1.6530612244897962,55.35637626084512,32.22754731811405,0.001643749081171388
0.5,1.836734693877551,44.76045688034177,25.04371866043639,0.0018477942252982048
0.5,2.020408163265306,36.06683266334463,19.44344677531787,0.002055162559853881
0.5,2.204081632653061,28.97050074149084,15.082611586761704,0.002265836632555138
0.5,2.387755102040816,23.20408560387588,11.690329070939839,0.00247984616768909
0.5,2.571428571428571,18.536943559057807,9.053782325396513,0.0026972589068856496
0.5,2.7551020408163263,14.772770839835646,7.006195410988324,0.002918173307080303
0.5,2.9387755102040813,11.74654062530356,5.417306866022303,0.0031427127682353223
0.5,3.122448979591837,9.3206095859958,4.185335057637848,0.0033710207369728644
0.5,3.3061224489795924,7.381210383215251,3.2309966057782455,0.003603257112421467
0.5,3.4897959183673466,5.834151768996471,2.4920003005790057,0.0038395947992032426
0.5,3.673469387755102,4.603053775418382,1.9203638718326483,0.004080218360192932
0.5,3.8571428571428568,3.6255724352515903,1.478613763470474,0.004325321638146929
0.5,4.040816326530612,2.850597765798061,1.1372551494918073,0.004575106092859143
0.5,4.224489795918368,2.237801830288482,0.8739840040296838,0.004829781021940044
0.5,4.408163265306122,1.7537750314879796,0.6709042710851475,0.0050895611288042
0.5,4.591836734693877,1.3723368104582445,0.5145169288493694,0.005354667437591436
0.5,4.775510204081632,1.0721547599455217,0.3941445077050802,0.005625325807189138
0.5,4.959183673469387,0.8363559637271826,0.30160623608688975,0.005901767293142437
0.5,5.142857142857142,0.6513444812323671,0.230495439549976,0.0061842273627762245
0.5,5.326530612244898,0.5066141759432994,0.1760055067453163,0.006472946865739414
0.5,5.5102040816326525,0.3932948196785956,0.1341634916447307,0.006768169713553539
0.5,5.693877551020408,0.30496872999764646,0.1021916449709546,0.007070146291352628
0.5,5.877551020408163,0.23607121462439867,0.07771670755036394,0.007379129676849484
0.5,6.061224489795918,0.18239316970813463,0.05899677396499409,0.007695377947001145
0.5,6.244897959183674,0.14080298229709848,0.04476753803615901,0.008019155388486182
0.5,6.428571428571429,0.10850117378571486,0.033910391760600185,0.008350728633190564
0.5,6.612244897959185,0.0834323893018328,0.025630470102234255,0.008690369300611879
0.5,6.795918367346937,0.06410622923557702,0.01936405009927101,0.009038356310091753
0.5,6.979591836734693,0.04919809691761078,0.014614216384840813,0.009394971963928736
0.5,7.163265306122448,0.03761601391564404,0.010982335906307775,0.009760498508691146
0.5,7.346938775510204,0.028736376111763506,0.008248118398216205,0.01013523309033864
0.5,7.530612244897959,0.021957483927526566,0.006199584154989998,0.010519473624976766
0.5,7.7142857142857135,0.01674821610933798,0.00465085726227986,0.010913522140135103
0.5,7.8979591836734695,0.012720190834324501,0.0034715734338099584,0.011317681293000367
0.5,8.081632653061224,0.009647245435206038,0.0025876523349953567,0.011732270118521243
0.5,8.26530612244898,0.007321828425296534,0.0019313964037358034,0.012157609834294215
0.5,8.448979591836736,0.005546963129910471,0.0014387369769144124,0.01259402352108608
0.5,8.63265306122449,0.004186578304867024,0.0010670110854042074,0.013041839262405135
0.5,8.816326530612244,0.0031553217735213485,0.0007901681641042579,0.01350139751660659
0.5,9.0,0.0023768594007265702,0.0005849846755273918,0.013973042227852315
1.0,0.0,291.0699999999998,291.07,0.0
1.0,0.18367346938775508,254.8855533772235,233.7253741071518,0.00012869085246617078
1.0,0.36734693877551017,220.21751721548387,186.57266820202057,0.0002690206657655738
1.0,0.5510204081632653,188.11855699872368,148.17303753526343,0.00041993076228438606
1.0,0.7346938775510203,159.097066880926,117.16448233785295,0.0005802908951324674
1.0,0.9183673469387755,133.35612900290602,92.30465954095202,0.0007489938033644858
1.0,1.1020408163265305,110.89163916551026,72.49504270704313,0.0009250223196005735
1.0,1.2857142857142856,91.5578319044124,56.78953840694915,0.001107488975592458
1.0,1.4693877551020407,75.11840698071067,44.38986767026821,0.00129565166574946
1.0,1.6530612244897962,61.28619782375073,34.63368164186873,0.0014889135253164773
1.0,1.836734693877551,49.75342898718443,26.979192545654506,0.00168681360381081
1.0,2.020408163265306,40.21365964828743,20.987529718225545,0.0018890113116540727
1.0,2.204081632653061,32.376520877478185,16.306744985884453,0.0020952704749655007
1.0,2.387755102040816,25.97640075249696,12.656016679246827,0.0023054421762798536
1.0,2.571428571428571,20.77679510491576,9.81263743904222,0.0025194500453005167
1.0,2.7551020408163263,16.571512217093083,7.600741343138398,0.0027372771392958043
1.0,2.9387755102040813,13.183810696134547,5.881950529718425,0.002958954859098676
1.0,3.122448979591837,10.464322682210339,4.5477429282384465,0.003184553811914082
1.0,3.3061224489795924,8.287994586332296,3.513025819082495,0.00341417602138471
1.0,3.4897959183673466,6.551194955421034,2.7113022011706183,0.0036479490971861634
1.0,3.673469387755102,5.1686632915276265,2.0906620984700943,0.0038860213823778862
